chromosome,start,stop,accession
CM052549.1,20101592,22102488,GCA_028533065.1
CM052549.1,61674998,63675981,GCA_028533065.1
JAPYXV010003131.1,0,1012157,GCA_028533065.1
JAPYXV010007150.1,0,1006443,GCA_028533065.1
JAPYXV010016594.1,0,1001328,GCA_028533065.1
JAPYXV010020965.1,0,1003135,GCA_028533065.1
JAPYXV010021037.1,0,1001060,GCA_028533065.1
JAPYXV010025252.1,0,1002068,GCA_028533065.1
LR991632.1,28779154,30780131,GCA_905171665.2
LR991636.1,11696942,13698069,GCA_905171665.2
CM052598.1,156852186,159936617,GCA_028551375.1
CM052605.1,31380077,33526916,GCA_028551375.1
CM052598.1,110300436,112301350,GCA_028551375.1
CM052605.1,96626056,98626952,GCA_028551375.1
CM057363.1,2041123,4111934,GCA_030014385.1
CM057363.1,26912010,28935645,GCA_030014385.1
CM057358.1,39907116,41908117,GCA_030014385.1
CM057360.1,10291063,12292001,GCA_030014385.1
CM021908.1,375121526,377143733,GCA_011100635.1
CM021909.1,101930298,104572100,GCA_011100635.1
CM021909.1,104194015,106500295,GCA_011100635.1
CM021911.1,1843337,4134672,GCA_011100635.1
CM021905.1,344215057,346215992,GCA_011100635.1
CM021908.1,267064933,269065865,GCA_011100635.1
CM021909.1,5159219,7160130,GCA_011100635.1
CM056456.1,5647789,7651853,GCA_029783895.1
CM056468.1,19248559,21252979,GCA_029783895.1
CM056468.1,10173724,12174701,GCA_029783895.1
CM027556.1,1252996,3258695,GCA_015846415.1
CM027546.1,10885005,12885829,GCA_015846415.1
CM027546.1,18196160,20197116,GCA_015846415.1
CM027556.1,10406370,12407347,GCA_015846415.1
CM045789.1,20180072,22213302,GCA_024868665.1
CM045789.1,9212488,11213462,GCA_024868665.1
CM017902.1,5378808,7385249,GCA_008369825.1
CM017904.1,19348123,21369084,GCA_008369825.1
CM017902.1,12763656,14764567,GCA_008369825.1
CM017904.1,9871309,11872286,GCA_008369825.1
CM036618.1,6179333,8257337,GCA_020746105.1
CM036617.1,5201856,7202812,GCA_020746105.1
CM036619.1,97842435,99843388,GCA_020746105.1
CM052700.1,13871069,16893894,GCA_028551405.1
CM052700.1,92645871,94861941,GCA_028551405.1
CM052700.1,94190923,96283471,GCA_028551405.1
CM052700.1,109178280,111179179,GCA_028551405.1
CM052700.1,118469936,120471030,GCA_028551405.1
CM052701.1,113761656,115762552,GCA_028551405.1
CM052716.1,2830042,4830938,GCA_028551405.1
CM052716.1,5952441,7953448,GCA_028551405.1
JAPYYD010003086.1,0,1006317,GCA_028551405.1
JAPYYD010003959.1,0,1012910,GCA_028551405.1
JAPYYD010008255.1,0,1001813,GCA_028551405.1
JAPYYD010014861.1,0,1004755,GCA_028551405.1
JAPYYD010015980.1,0,1003979,GCA_028551405.1
JAPYYD010016891.1,0,1001901,GCA_028551405.1
JALAAU020000003.1,88949128,92156849,GCA_023065955.2
JALAAU020000026.1,10074711,12222916,GCA_023065955.2
JALAAU020000003.1,41515567,43516481,GCA_023065955.2
JALAAU020000015.1,6536348,8537244,GCA_023065955.2
CM052437.1,174647866,177526169,GCA_028533085.1
CM052440.1,75647989,77849173,GCA_028533085.1
CM052437.1,127392012,129392923,GCA_028533085.1
CM052437.1,161421440,163422345,GCA_028533085.1
CM052439.1,169970920,171971807,GCA_028533085.1
JAQIFY010001722.1,0,1006085,GCA_028533085.1
JAQIFY010007067.1,0,1002700,GCA_028533085.1
JAQIFY010015146.1,0,1001295,GCA_028533085.1
JAQIFY010019125.1,0,1003879,GCA_028533085.1
JAQIFY010021131.1,0,1003894,GCA_028533085.1
CM048041.1,18325411,20326391,GCA_026259375.1
CM048052.1,7498596,9499603,GCA_026259375.1
CM049527.1,72433324,74444269,GCA_026979565.1
CM049528.1,106583544,108603537,GCA_026979565.1
CM044061.1,73145789,75156740,GCA_024509145.1
CM040823.1,19246071,21247009,GCA_022828995.1
CM040835.1,18017944,20018981,GCA_022828995.1
CM040835.1,30813535,32814512,GCA_022828995.1
CM044357.1,6057619,8058503,GCA_024294585.1
OX365968.1,5576445,7577329,GCA_947247035.1
CM053640.1,4362287,6417648,GCA_028626985.1
CM053641.1,85462374,88067800,GCA_028626985.1
CM053641.1,87234587,89469080,GCA_028626985.1
CM053639.1,574888587,576889522,GCA_028626985.1
CM053641.1,2463466,4464377,GCA_028626985.1
JAQQSX010000020.1,0,1042544,GCA_028626985.1
JAQQSX010003815.1,0,1003812,GCA_028626985.1
JAQQSX010006267.1,0,1001212,GCA_028626985.1
JAQQSX010011184.1,0,1005240,GCA_028626985.1
JAQQSX010012943.1,0,1002175,GCA_028626985.1
CM044684.1,46830567,49051864,GCA_024500485.1
CM044684.1,48179189,50417021,GCA_024500485.1
CM044685.1,121198347,123334005,GCA_024500485.1
CM044689.1,32733278,34734309,GCA_024500485.1
CM044691.1,36762046,38762939,GCA_024500485.1
CM031298.1,51721302,55027781,GCA_018345385.1
CM031315.1,9929985,12065938,GCA_018345385.1
CM031307.1,26057264,28058295,GCA_018345385.1
CM031311.1,37607206,39608099,GCA_018345385.1
CM044431.1,153947896,155972970,GCA_024363595.1
CM044439.1,170762623,172891477,GCA_024363595.1
CM044440.1,134968188,137021701,GCA_024363595.1
CM044443.1,12518767,14782659,GCA_024363595.1
CM044444.1,5516784,7637050,GCA_024363595.1
CM044444.1,75719962,77742789,GCA_024363595.1
CM044445.1,106329706,108349153,GCA_024363595.1
CM044447.1,124979003,127201689,GCA_024363595.1
CM044448.1,106077336,108205000,GCA_024363595.1
CM044446.1,95099170,97100087,GCA_024363595.1
JAMBMQ010005432.1,0,1002461,GCA_024363595.1
CM030340.1,153690199,155715935,GCA_017654675.1
CM030348.1,167685602,169770821,GCA_017654675.1
CM030349.1,140798082,142855104,GCA_017654675.1
CM030352.1,12200406,14418027,GCA_017654675.1
CM030353.1,83427968,85505040,GCA_017654675.1
CM030354.1,113552715,115575719,GCA_017654675.1
CM030356.1,124875822,127010945,GCA_017654675.1
CM030357.1,108551234,110694828,GCA_017654675.1
CM004443.2,141784561,143804166,GCA_000004195.4
CM004447.2,158983992,161049499,GCA_000004195.4
CM004449.2,17672003,19862864,GCA_000004195.4
CM004450.2,120614257,122657698,GCA_000004195.4
CM004451.2,10962879,13119103,GCA_000004195.4
CM004449.2,95759279,97760190,GCA_000004195.4
CM004451.2,13045211,15046158,GCA_000004195.4
CM053403.1,86775170,89132719,GCA_028644305.1
CM053407.1,9700533,12826022,GCA_028644305.1
CM053405.1,5646555,7647451,GCA_028644305.1
CM053407.1,26062970,28064010,GCA_028644305.1
JAQQSJ010003827.1,0,1007599,GCA_028644305.1
CM029150.1,10098865,12099818,GCA_016859285.1
CM029153.1,972585,2973667,GCA_016859285.1
CM029153.1,21685327,23686316,GCA_016859285.1
CM010737.1,24768742,26769719,GCA_001444195.3
CM010386.2,24864894,26865871,GCA_003331165.2
CM008949.1,25727823,27728800,GCA_002775205.2
CM047312.1,35041941,37052236,GCA_025860055.1
CM047316.1,33702472,35741832,GCA_025860055.1
CM047325.1,18958524,20965440,GCA_025860055.1
CM047316.1,20458539,22459462,GCA_025860055.1
CM047325.1,36951263,38952240,GCA_025860055.1
CM047335.1,34555767,36556741,GCA_025860055.1
CM019810.2,93311678,95459789,GCA_009762305.2
CM019813.2,43712923,45713849,GCA_009762305.2
CM019813.2,93790146,95791063,GCA_009762305.2
CM042314.1,42008132,44009109,GCA_023566125.1
CM054064.1,95141551,97160421,GCA_028769735.1
CM054067.1,36173739,38181196,GCA_028769735.1
CM054067.1,106640641,108725694,GCA_028769735.1
CM022340.1,66025750,68049047,GCA_011800845.1
CM022343.1,8197258,10205128,GCA_011800845.1
CM022354.1,23825477,26012197,GCA_011800845.1
CM022341.1,111505559,113506707,GCA_011800845.1
CM022345.1,7261573,9262466,GCA_011800845.1
CM022354.1,19394926,21395915,GCA_011800845.1
JAATIO010001375.1,0,1001756,GCA_011800845.1
JAATIO010001376.1,0,1001289,GCA_011800845.1
JAATIO010002969.1,0,1033040,GCA_011800845.1
